disease_name,vector_role_bucket,vector_role_bucket_basis,vector_role_bucket_needs_review,biological_evidence_tier,best_evidence_level,vector_competence_status,bites_humans_true,rows
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,1
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,competent,TRUE,2
Chikungunya fever,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,competent,TRUE,2
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,FALSE,3
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,3
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,competent,TRUE,2
Chikungunya fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,candidate,competent,FALSE,1
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,2
Chikungunya fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,supported,probable,unclear,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,TRUE,1
Chikungunya fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,probable,,FALSE,1
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,5
Crimean-Congo hemorrhagic fever,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,candidate,unclear,FALSE,2
Crimean-Congo hemorrhagic fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,8
Crimean-Congo hemorrhagic fever,primary_or_main_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,3
Crimean-Congo hemorrhagic fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,TRUE,1
Crimean-Congo hemorrhagic fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,1
Crimean-Congo hemorrhagic fever,competence_supported_vector,reviewed_vector_assignment,TRUE,strong,confirmed,competent,FALSE,1
Crimean-Congo hemorrhagic fever,primary_or_main_vector,reviewed_vector_assignment,TRUE,strong,confirmed,competent,FALSE,1
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,6
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,6
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,5
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,FALSE,4
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,confirmed,,FALSE,2
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,TRUE,1
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,1
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,TRUE,1
Crimean-Congo hemorrhagic fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,probable,unclear,TRUE,1
Dengue,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,weak,,FALSE,1
Dengue,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
Dengue,competence_supported_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
Dengue,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
Dengue,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,mixed,TRUE,1
Dengue,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,mixed,FALSE,2
Dengue,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,competent,FALSE,1
Dengue,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,1
Dengue,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,1
Dengue,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,mixed,FALSE,1
Dengue,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,3
Dengue,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,FALSE,1
Dengue,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,TRUE,1
Oropouche fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,mixed,TRUE,1
Oropouche fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,TRUE,2
Oropouche fever,competence_supported_vector,reviewed_vector_assignment,TRUE,strong,probable,competent,FALSE,1
Oropouche fever,primary_or_main_vector,reviewed_vector_assignment,FALSE,strong,confirmed,competent,FALSE,1
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,3
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,TRUE,3
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,1
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate; probable,unclear,TRUE,1
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,TRUE,1
Oropouche fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Plague,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,confirmed,competent,FALSE,2
Plague,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,confirmed,mixed,TRUE,1
Plague,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,1
Plague,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,20
Plague,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,mixed,FALSE,11
Plague,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,mixed,FALSE,4
Plague,primary_or_main_vector,reviewed_vector_assignment,FALSE,strong,confirmed,competent,FALSE,1
Plague,primary_or_main_vector,reviewed_vector_assignment,TRUE,strong,confirmed,mixed,FALSE,1
Plague,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,3
Plague,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,confirmed,unclear,FALSE,1
Plague,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,FALSE,1
Plague,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,4
Rift Valley fever,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,probable,unclear,TRUE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,competent,TRUE,11
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,mixed,TRUE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,5
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,4
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate; probable,competent,TRUE,2
Rift Valley fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,confirmed; probable,competent,TRUE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,FALSE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,FALSE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate; confirmed,competent,TRUE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,mixed,FALSE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed; probable,mixed,FALSE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed; probable,mixed,TRUE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,mixed,FALSE,1
Rift Valley fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,mixed,FALSE,1
Rift Valley fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strong,confirmed; probable,mixed,TRUE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,9
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,6
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,6
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,TRUE,5
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,4
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,2
Rift Valley fever,mechanical_vector,reviewed_vector_assignment,TRUE,supported,candidate,unclear,FALSE,2
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,FALSE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,not_competent,TRUE,1
Rift Valley fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,FALSE,1
Rift Valley fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,candidate,unclear,FALSE,1
Severe fever with thrombocytopenia syndrome (SFTS),competence_supported_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,1
Severe fever with thrombocytopenia syndrome (SFTS),primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,competent,TRUE,1
Severe fever with thrombocytopenia syndrome (SFTS),competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,3
Severe fever with thrombocytopenia syndrome (SFTS),competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,mixed,FALSE,1
Severe fever with thrombocytopenia syndrome (SFTS),direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,4
Severe fever with thrombocytopenia syndrome (SFTS),direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,2
Severe fever with thrombocytopenia syndrome (SFTS),direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,FALSE,1
Severe fever with thrombocytopenia syndrome (SFTS),direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,1
Severe fever with thrombocytopenia syndrome (SFTS),direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Tick-borne encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,3
Tick-borne encephalitis,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,competent,TRUE,1
Tick-borne encephalitis,primary_or_main_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,1
Tick-borne encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,2
Tick-borne encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,1
Tick-borne encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,unclear,TRUE,1
Tick-borne encephalitis,primary_or_main_vector,reviewed_vector_assignment,FALSE,strong,confirmed,competent,FALSE,1
Tick-borne encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,competent,TRUE,2
Venezuelan equine encephalitis,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate; confirmed,competent,FALSE,3
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate; confirmed,competent,TRUE,2
Venezuelan equine encephalitis,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,confirmed; probable,competent,TRUE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,unclear,TRUE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,1
Venezuelan equine encephalitis,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,1
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,6
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,4
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,TRUE,4
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,unclear,FALSE,3
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,2
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate; probable,unclear,TRUE,1
Venezuelan equine encephalitis,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,confirmed,unclear,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,10
West Nile fever,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,candidate,,FALSE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,4
West Nile fever,primary_or_main_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,2
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,competent,TRUE,1
West Nile fever,primary_or_main_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
West Nile fever,primary_or_main_vector,reviewed_vector_assignment,TRUE,strict,probable,competent,TRUE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,4
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,FALSE,3
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,3
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,FALSE,2
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,mixed,FALSE,2
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,TRUE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,unclear,TRUE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,mixed,FALSE,1
West Nile fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,competent,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,18
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,5
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,FALSE,4
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,2
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,TRUE,2
West Nile fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,supported,candidate,,TRUE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
West Nile fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,3
Yellow fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,3
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,mixed,TRUE,1
Yellow fever,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,mixed,TRUE,1
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,confirmed,competent,FALSE,8
Yellow fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,4
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,4
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,3
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,2
Yellow fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,confirmed,,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,10
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,weak,,FALSE,6
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate; weak,,FALSE,1
Zika virus disease,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,candidate,,TRUE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,probable,mixed,TRUE,3
Zika virus disease,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,mixed,TRUE,2
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,competent,TRUE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strict,confirmed,mixed,TRUE,1
Zika virus disease,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,mixed,TRUE,1
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,competent,FALSE,2
Zika virus disease,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,confirmed,mixed,FALSE,1
Zika virus disease,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,mixed,FALSE,1
Zika virus disease,unknown_or_unreviewed_vector,reviewed_vector_assignment,TRUE,strong,candidate,mixed,TRUE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,7
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,FALSE,3
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,not_competent,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,not_competent,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,,TRUE,2
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,unclear,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,FALSE,1
Zika virus disease,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,weak,unclear,TRUE,1
Zika virus disease,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,probable,unclear,TRUE,1
