disease_name,source_pathogen,vector_species,vector_join_key,vector_role_assignment,assignment_status,assignment_confidence,evidence_record_ids,assignment_basis,needs_manual_review,review_notes
West Nile fever,Orthoflavivirus nilense,Culex pipiens,culex pipiens,main_vector,draft_source_backed,high,vector_role_evidence:ECDC Culex pipiens factsheet for experts,ECDC describes Culex pipiens as a major WNV vector; amplificatory and bridge functions remain evidence notes rather than a compound assignment value.,TRUE,Europe-focused source; keep regional caveat before using as an unrestricted global role.
West Nile fever,Orthoflavivirus nilense,Culex modestus,culex modestus,main_vector,draft_source_backed,high,vector_role_evidence:ECDC factsheet about West Nile virus infection,ECDC identifies Culex modestus as one of the main WNV vectors in Europe.,TRUE,Europe-focused source; keep regional caveat before using as an unrestricted global role.
Yellow fever,Yellow fever virus,Aedes aegypti,aedes aegypti,main_vector,draft_source_backed,high,vector_role_evidence:CDC Transmission of Yellow Fever Virus,CDC describes Aedes aegypti as the primary urban mosquito vector for yellow fever.,FALSE,Urban-cycle assignment only.
Yellow fever,Yellow fever virus,Aedes africanus,aedes africanus,sylvatic_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Yellow Fever,CDC Yellow Book lists Aedes africanus in the sylvatic forest-canopy mosquito context.,TRUE,Africa-focused sylvatic-cycle assignment.
Yellow fever,Yellow fever virus,Haemagogus spp.,haemagogus spp,sylvatic_vector,draft_source_backed,high,vector_role_evidence:WHO Yellow fever fact sheet,WHO fact sheet supports Haemagogus genus involvement in yellow fever transmission.,TRUE,Group-level assignment only; do not propagate automatically to each Haemagogus species.
Yellow fever,Yellow fever virus,Sabethes spp.,sabethes spp,sylvatic_vector,draft_source_backed,high,vector_role_evidence:WHO Yellow fever fact sheet,WHO fact sheet supports Sabethes genus involvement in yellow fever transmission.,TRUE,Group-level assignment only; do not propagate automatically to each Sabethes species.
Dengue,Orthoflavivirus denguei,Aedes aegypti,aedes aegypti,primary_vector,draft_source_backed,high,vector_role_evidence:WHO Dengue and severe dengue fact sheet,WHO describes Aedes aegypti as the primary dengue vector.,FALSE,Primary urban vector assignment.
Dengue,Orthoflavivirus denguei,Aedes albopictus,aedes albopictus,secondary_vector,draft_source_backed,medium,vector_role_evidence:WHO Dengue and severe dengue fact sheet,WHO describes Aedes albopictus as able to act as a dengue vector but normally secondary to Aedes aegypti.,TRUE,Secondary-context vector assignment; not a primary urban vector claim.
Plague,Yersinia pestis,fleas,flea,main_vector,draft_source_backed,high,vector_role_evidence:CDC How Plague Spreads,CDC describes Yersinia pestis as maintained in a wild rodent-flea cycle.,TRUE,Group-level assignment only; species-level flea rows require species-level evidence.
Plague,Yersinia pestis,Xenopsylla cheopis,xenopsylla cheopis,primary_vector,draft_source_backed,high,vector_role_evidence:CDC MMWR plague treatment guidelines,CDC names the Oriental rat flea Xenopsylla cheopis as a plague vector.,FALSE,Classic species-level plague vector assignment.
Rift Valley fever,Phlebovirus riftense,Aedes spp.,aedes spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes vertical maintenance in Aedes mosquitoes.,TRUE,Group-level assignment only.
Rift Valley fever,Phlebovirus riftense,Culex spp.,culex spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Culex among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Rift Valley fever,Phlebovirus riftense,Mansonia spp.,mansonia spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Mansonia among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Rift Valley fever,Phlebovirus riftense,Anopheles spp.,anopheles spp,mechanical_vector,draft_needs_review,medium,vector_role_evidence:WHO Rift Valley fever fact sheet,WHO describes Anopheles among local competent mosquitoes acting as mechanical vectors in ruminant amplification.,TRUE,Genus-level mechanical-vector assignment only.
Chikungunya fever,Alphavirus chikungunya,Aedes aegypti,aedes aegypti,main_vector,draft_source_backed,high,vector_role_evidence:WHO Chikungunya fact sheet,WHO identifies Aedes aegypti as one of the most common chikungunya vectors.,FALSE,Main urban vector assignment.
Chikungunya fever,Alphavirus chikungunya,Aedes albopictus,aedes albopictus,main_vector,draft_source_backed,high,vector_role_evidence:WHO Chikungunya fact sheet,WHO identifies Aedes albopictus as one of the most common chikungunya vectors.,FALSE,Main vector assignment.
Chikungunya fever,Alphavirus chikungunya,Aedes furcifer,aedes furcifer,bridge_vector,draft_source_backed,medium,vector_role_evidence:manual_chikungunya_diallo2012_aedes_furcifer,Direct regional evidence supports Ae. furcifer as a bridge/spillover vector for sylvatic CHIKV in Kedougou.,TRUE,"source_check_candidate_id=manual_chikungunya_diallo2012_aedes_furcifer; caveat=Kedougou/Senegal sylvatic spillover context; not a global urban vector claim.; decision_reason=Direct regional evidence supports bridge/spillover vector role.; source_access=web_full_text; source_check_method=web_search; checked_evidence_location=Diallo 2012 abstract/author summary; Diallo 1999 abstract/discussion"
Chikungunya fever,Alphavirus chikungunya,Aedes luteocephalus,aedes luteocephalus,sylvatic_vector,draft_source_backed,medium,vector_role_evidence:manual_chikungunya_diallo1999_aedes_luteocephalus,Direct regional evidence supports Ae. luteocephalus as a sylvatic CHIKV vector in Kedougou.,TRUE,"source_check_candidate_id=manual_chikungunya_diallo1999_aedes_luteocephalus; caveat=Kedougou/Senegal sylvatic-cycle context; not a main urban vector claim.; decision_reason=Direct regional evidence supports sylvatic vector role.; source_access=web_full_text; source_check_method=web_search; checked_evidence_location=Diallo 1999 abstract/discussion; Diallo 2012 results"
Zika virus disease,Orthoflavivirus zikaense,Aedes aegypti,aedes aegypti,primary_vector,draft_source_backed,high,vector_role_evidence:WHO Zika virus fact sheet,WHO identifies Aedes aegypti as the main Zika vector.,FALSE,Primary vector assignment.
Zika virus disease,Orthoflavivirus zikaense,Aedes albopictus,aedes albopictus,secondary_vector,draft_needs_review,medium,vector_role_evidence:Bisia et al. 2023 Secondary vectors of Zika Virus,Aedes albopictus is modelled as secondary to Aedes aegypti in the urban Zika vector context.,TRUE,Keep manual review because source strength and geography vary but this is clearer than main_vector.
Venezuelan equine encephalitis,Alphavirus venezuelan,Culex Melanoconion spp.,culex melanoconion spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:CDC Emerging Infectious Diseases VEEV Infection of Cotton Rats,CDC EID article describes enzootic circulation between Culex Melanoconion mosquitoes and rodent reservoirs.,TRUE,Group-level assignment only.
Venezuelan equine encephalitis,Alphavirus venezuelan,Aedes taeniorhynchus,aedes taeniorhynchus,epidemic_vector,draft_source_backed,high,vector_role_evidence:Venezuelan Equine Encephalitis - StatPearls,StatPearls identifies Ochlerotatus taeniorhynchus as primary mosquito vector during epizootics.,TRUE,Synonym and epizootic-cycle caveat require review.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma spp.,hyalomma spp,principal_vector_genus,draft_source_backed,high,vector_role_evidence:WHO Crimean-Congo haemorrhagic fever fact sheet,WHO identifies Hyalomma ticks as the principal vector genus.,TRUE,Group-level assignment only.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes ricinus,ixodes ricinus,main_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC Yellow Book identifies Ixodes ricinus as the primary European subtype vector.,FALSE,Subtype-specific main vector assignment.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes persulcatus,ixodes persulcatus,main_vector,draft_source_backed,high,vector_role_evidence:CDC Yellow Book Tick-Borne Encephalitis,CDC Yellow Book identifies Ixodes persulcatus as the primary Far Eastern and Siberian subtype vector.,FALSE,Subtype-specific main vector assignment.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes spp.,ixodes spp,enzootic_maintenance_vector,draft_source_backed,high,vector_role_evidence:CDC Transmission of Tick-borne Encephalitis,CDC describes environmental maintenance between Ixodes ticks and small rodents.,TRUE,Group-level maintenance assignment only.
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis longicornis,haemaphysalis longicornis,primary_vector,draft_source_backed,high,vector_role_evidence:UKHSA SFTS epidemiology outbreaks and guidance,UKHSA identifies Haemaphysalis longicornis as the primary vector.,FALSE,Primary vector assignment.
Oropouche fever,Orthobunyavirus oropoucheense,Culicoides paraensis,culicoides paraensis,primary_vector,draft_source_backed,high,vector_role_evidence:WHO Oropouche virus disease fact sheet,WHO identifies Culicoides paraensis as the primary vector to humans.,FALSE,Primary vector assignment.
Oropouche fever,Orthobunyavirus oropoucheense,Culex quinquefasciatus,culex quinquefasciatus,candidate_vector,draft_needs_review,medium,vector_role_evidence:CDC Health Alert Network Oropouche Virus Disease,CDC advisory describes Culex quinquefasciatus as a possible vector.,TRUE,Possible vector only.
Plague,Yersinia pestis,Oropsylla montana,oropsylla montana,primary_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_001,Direct named-vector support for O. montana with geographic caveat.,TRUE,"source_check_candidate_id=candidate_001; caveat=New Mexico / North America public-health context; not a universal global primary vector claim.; decision_reason=Direct named-vector support for O. montana with geographic caveat.; source_access=report_pdf; file_name=ZDP-PLG-InvestigationManual.pdf, C1372_Plague.pdf; source_check_method=local_pdf_text; checked_evidence_location=ZDP-PLG-InvestigationManual.txt lines 24-30; C1372_Plague.txt"
West Nile fever,Orthoflavivirus nilense,Culex quinquefasciatus,culex quinquefasciatus,main_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_002,Direct official guideline support.,TRUE,"source_check_candidate_id=candidate_002; caveat=United States regional vector framing.; decision_reason=Direct official guideline support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 105-108, 152-163, 379-380"
West Nile fever,Orthoflavivirus nilense,Culex tarsalis,culex tarsalis,main_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_003,Direct official guideline support.,TRUE,"source_check_candidate_id=candidate_003; caveat=United States regional vector framing.; decision_reason=Direct official guideline support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 105-108, 152-163, 379-380"
Yellow fever,Yellow fever virus,Haemagogus janthinomys,haemagogus janthinomys,sylvatic_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_004,Direct species-level natural infection and outbreak-vector support.,TRUE,source_check_candidate_id=candidate_004; caveat=Brazil Atlantic Forest outbreak context; supports sylvatic/outbreak vector role.; decision_reason=Direct species-level natural infection and outbreak-vector support.; source_access=abstract_only; file_name=Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf; source_check_method=local_pdf_text; checked_evidence_location=Haemagogus...Brazil 2016 2018.txt lines 109-119
Yellow fever,Yellow fever virus,Haemagogus leucocelaenus,haemagogus leucocelaenus,sylvatic_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_005,Direct species-level natural infection and outbreak-vector support.,TRUE,source_check_candidate_id=candidate_005; caveat=Brazil Atlantic Forest outbreak context; supports sylvatic/outbreak vector role.; decision_reason=Direct species-level natural infection and outbreak-vector support.; source_access=abstract_only; file_name=Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf; source_check_method=local_pdf_text; checked_evidence_location=Haemagogus...Brazil 2016 2018.txt lines 109-119
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma marginatum,hyalomma marginatum,main_vector,draft_source_backed,high,vector_role_evidence:source_check:candidate_008,Direct official species-level support.,TRUE,source_check_candidate_id=candidate_008; caveat=Europe-heavy official source; H. marginatum is explicitly principal in Europe.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Dengue,Orthoflavivirus denguei,Aedes furcifer,aedes furcifer,sylvatic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_015,Source-backed candidate row with regional caveat.,TRUE,source_check_candidate_id=candidate_015; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Dengue,Orthoflavivirus denguei,Aedes luteocephalus,aedes luteocephalus,sylvatic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_017,Source-backed candidate row with regional caveat.,TRUE,source_check_candidate_id=candidate_017; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Dengue,Orthoflavivirus denguei,Aedes polynesiensis,aedes polynesiensis,epidemic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_018,Direct species-level support.,TRUE,"source_check_candidate_id=candidate_018; caveat=Old but direct experimental/epidemiological evidence; Polynesia context.; decision_reason=Direct species-level support.; source_access=abstract_only; file_name=tpmd-article-p878.pdf; source_check_method=local_pdf_text; checked_evidence_location=tpmd-article-p878.txt lines 18-26, 134-155, 175-176"
Dengue,Orthoflavivirus denguei,Aedes taylori,aedes taylori,sylvatic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_019,Source-backed candidate row with regional caveat.,TRUE,source_check_candidate_id=candidate_019; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Dengue,Orthoflavivirus denguei,Aedes vittatus,aedes vittatus,competent_vector_only,draft_source_backed,medium,vector_role_evidence:A new vector emerges? Aedes vittatus (Diptera: Culicidae),Source review supports dengue vectorial competence but not a primary dengue-vector role.,TRUE,Competence-only assignment; keep out of primary/main vector bucket.
Plague,Yersinia pestis,Oropsylla hirsuta,oropsylla hirsuta,candidate_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_021,Good species-level candidate vector support.,TRUE,"source_check_candidate_id=candidate_021; caveat=Prairie-dog epizootic context; keep candidate rather than main/primary.; decision_reason=Good species-level candidate vector support.; source_access=abstract_only; file_name=tjac021.pdf; source_check_method=local_pdf_text; checked_evidence_location=tjac021.txt lines 33-42, 392-395; C1372_Plague.txt lines 4261-4272"
West Nile fever,Orthoflavivirus nilense,Culex salinarius,culex salinarius,epidemic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_023,Direct official regional vector support.,TRUE,source_check_candidate_id=candidate_023; caveat=Northeastern United States context; not a primary vector nationally.; decision_reason=Direct official regional vector support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 111-116
Chikungunya fever,Alphavirus chikungunya,Aedes hensilli,aedes hensilli,epidemic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_024,Direct species-level outbreak/vector evidence.,TRUE,"source_check_candidate_id=candidate_024; caveat=Yap outbreak context; not a global CHIKV vector claim.; decision_reason=Direct species-level outbreak/vector evidence.; source_access=full_text; file_name=tpmd-article-p429.pdf; source_check_method=local_pdf_text; checked_evidence_location=tpmd-article-p429.txt lines 312-349, 379-381"
Rift Valley fever,Phlebovirus riftense,Aedes mcintoshi,aedes mcintoshi,enzootic_maintenance_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_026,Good source-backed maintenance-vector support.,TRUE,"source_check_candidate_id=candidate_026; caveat=Review-based species row; maintenance wording is ecological synthesis.; decision_reason=Good source-backed maintenance-vector support.; source_access=full_text; file_name=Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 228-229, 384-393, 517-523; Rift-Valley-fever...txt lines 90-92"
Rift Valley fever,Phlebovirus riftense,Culex poicilipes,culex poicilipes,epidemic_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_027,Source-backed regional epidemic vector support.,TRUE,source_check_candidate_id=candidate_027; caveat=Best interpreted as secondary/epidemic vector rather than maintenance vector.; decision_reason=Source-backed regional epidemic vector support.; source_access=full_text; file_name=Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 293-295; Rift-Valley-fever...txt lines 100-107
Venezuelan equine encephalitis,Alphavirus venezuelan,Psorophora confinnis,psorophora confinnis,bridge_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_028,Direct species-level competence and bridge-vector support.,TRUE,"source_check_candidate_id=candidate_028; caveat=Northern South America / VEEV subtype context; bridge-vector role is supported but regional.; decision_reason=Direct species-level competence and bridge-vector support.; source_access=official_page | abstract_only; file_name=, ortiz2005.pdf; source_check_method=local_pdf_text; checked_evidence_location=ortiz2005.txt lines 14-31, 391-418"
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma anatolicum,hyalomma anatolicum,main_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_029,Direct official species-level support.,TRUE,source_check_candidate_id=candidate_029; caveat=Species is named as competent vector/reservoir; main-vector strength is less Europe-specific than H. marginatum.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma lusitanicum,hyalomma lusitanicum,enzootic_maintenance_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_030,Official regional support for virus-circulation role.,TRUE,source_check_candidate_id=candidate_030; caveat=Spain-specific circulation role; do not generalize globally.; decision_reason=Official regional support for virus-circulation role.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma rufipes,hyalomma rufipes,main_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_031,Direct official species-level support.,TRUE,source_check_candidate_id=candidate_031; caveat=Species is named as competent vector/reservoir; regional importance varies.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma asiaticum,hyalomma asiaticum,competent_vector_only,draft_source_backed,medium,vector_role_evidence:source_check:manual_cchf_hyalomma_asiaticum,Direct official species-level competence support.,TRUE,source_check_candidate_id=manual_cchf_hyalomma_asiaticum; caveat=Species is named as competent vector/reservoir but not upgraded to main vector; field importance is regional.
Oropouche fever,Orthobunyavirus oropoucheense,Culicoides sonorensis,culicoides sonorensis,competent_vector_only,draft_source_backed,medium,vector_role_evidence:source_check:candidate_032,Strong competence-only support.,TRUE,"source_check_candidate_id=candidate_032; caveat=Competence evidence only; no evidence that C. sonorensis is a field vector in current outbreaks.; decision_reason=Strong competence-only support.; source_access=abstract_only; file_name=journal.pntd.0013014.pdf; source_check_method=local_pdf_text; checked_evidence_location=journal.pntd.0013014.txt lines 15-29, 199-212, 277-287"
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis flava,haemaphysalis flava,competent_vector_only,draft_source_backed,medium,vector_role_evidence:source_check:candidate_034,Direct experimental competence support.,TRUE,"source_check_candidate_id=candidate_034; caveat=Competence/experimental transmission support; field importance remains context-dependent.; decision_reason=Direct experimental competence support.; source_access=abstract_only; file_name=1-s2.0-S1877959X22002023-main.pdf; source_check_method=local_pdf_text; checked_evidence_location=1-s2.0-S1877959X22002023-main.txt lines 240-263, 351-356"
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Ixodes sinensis,ixodes sinensis,candidate_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_035,Direct experimental candidate-vector support.,TRUE,"source_check_candidate_id=candidate_035; caveat=Evidence is experimental and geographically bounded; keep candidate rather than main vector.; decision_reason=Direct experimental candidate-vector support.; source_access=abstract_only; file_name=document.pdf; source_check_method=local_pdf_text; checked_evidence_location=document.txt lines 24-36, 72-77, 379-383, 503-514"
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Dermacentor reticulatus,dermacentor reticulatus,candidate_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_038,Direct experimental vector support.,TRUE,"source_check_candidate_id=candidate_038; caveat=Non-core/underrecognized vector; do not upgrade to main vector.; decision_reason=Direct experimental vector support.; source_access=abstract_only; file_name=1-s2.0-S1877959X19305138-main.pdf; source_check_method=local_pdf_text; checked_evidence_location=1-s2.0-S1877959X19305138-main.txt lines 34-54, 174-192, 211-218"
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Haemaphysalis concinna,haemaphysalis concinna,main_vector,draft_source_backed,medium,vector_role_evidence:source_check:candidate_039,Source-backed regional major-vector support.,TRUE,source_check_candidate_id=candidate_039; caveat=Review-based regional Asia main-vector row; not a global core-vector claim.; decision_reason=Source-backed regional major-vector support.; source_access=full_text; file_name=microbiolres-15-00174.pdf; source_check_method=local_pdf_text; checked_evidence_location=microbiolres-15-00174.txt lines 409-413
Zika virus disease,Orthoflavivirus zikaense,Aedes hensilli,aedes hensilli,regional_epidemic_candidate_vector,draft_needs_review,low,vector_role_evidence:source_check:candidate_053,Official CDC support justifies low-confidence regional epidemic candidate row.,TRUE,"source_check_candidate_id=candidate_053; caveat=Pacific Islands/Yap evidence; keep low-confidence candidate and do not upgrade to main vector.; decision_reason=Official CDC support justifies a regional epidemic candidate row.; source_access=official_page; source_check_method=official_web_plus_secondary_local; checked_evidence_location=CDC Zika transmission page lines 108-130; tpmd-article-p429.txt lines 340-349, 392-393, 478-479"
Zika virus disease,Orthoflavivirus zikaense,Aedes africanus,aedes africanus,sylvatic_candidate_vector,draft_needs_review,medium,vector_role_evidence:Diagne et al. 2015 Zika vector competence Senegal,Regional African surveillance supports Ae africanus as a sylvatic candidate vector rather than an urban/main vector.,TRUE,Field infection and surveillance support; transmission competence not assigned from this row.
Zika virus disease,Orthoflavivirus zikaense,Aedes furcifer,aedes furcifer,sylvatic_candidate_vector,draft_needs_review,medium,vector_role_evidence:Diagne et al. 2015 Zika vector competence Senegal,Regional African surveillance supports Ae furcifer as a sylvatic candidate vector rather than an urban/main vector.,TRUE,Regional surveillance/ecology support; keep candidate wording.
Zika virus disease,Orthoflavivirus zikaense,Aedes luteocephalus,aedes luteocephalus,sylvatic_vector,draft_needs_review,medium,vector_role_evidence:Diagne et al. 2015 Zika vector competence Senegal,Field isolation plus saliva positivity support a caveated regional sylvatic-vector assignment.,TRUE,Regional African sylvatic vector support; not a global urban vector.
Zika virus disease,Orthoflavivirus zikaense,Aedes taylori,aedes taylori,sylvatic_candidate_vector,draft_needs_review,medium,vector_role_evidence:Diagne et al. 2015 Zika vector competence Senegal,Regional African surveillance supports Ae taylori as a sylvatic candidate vector rather than an urban/main vector.,TRUE,Regional surveillance/ecology support; keep candidate wording.
Zika virus disease,Orthoflavivirus zikaense,Aedes vittatus,aedes vittatus,sylvatic_vector,draft_needs_review,medium,vector_role_evidence:Diagne et al. 2015 Zika vector competence Senegal,Field and experimental evidence support a caveated regional sylvatic-vector assignment.,TRUE,Regional African sylvatic vector support; not a global urban vector.
Zika virus disease,Orthoflavivirus zikaense,Aedes detritus,aedes detritus,secondary_vector,draft_needs_review,medium,vector_role_evidence:Bisia et al. 2023 Secondary vectors of Zika Virus,Systematic review supports temperature-dependent secondary vector potential.,TRUE,Laboratory and temperature-dependent support only.
Zika virus disease,Orthoflavivirus zikaense,Aedes japonicus,aedes japonicus,secondary_vector,draft_needs_review,medium,vector_role_evidence:Bisia et al. 2023 Secondary vectors of Zika Virus,Systematic review supports temperature-dependent secondary vector potential.,TRUE,Laboratory and temperature-dependent support only.
Zika virus disease,Orthoflavivirus zikaense,Aedes vexans,aedes vexans,secondary_vector,draft_needs_review,medium,vector_role_evidence:Bisia et al. 2023 Secondary vectors of Zika Virus,Systematic review supports low-efficiency secondary vector potential.,TRUE,Laboratory evidence is low-efficiency and context dependent.
Zika virus disease,Orthoflavivirus zikaense,Culex quinquefasciatus,culex quinquefasciatus,not_important_vector,draft_needs_review,medium,vector_role_evidence:Bisia et al. 2023 Secondary vectors of Zika Virus,Systematic review indicates Cx quinquefasciatus should not be promoted as an important ZIKV vector.,TRUE,Keeps mixed Culex evidence from becoming a strong vector bucket while preserving localized-exception caveat.
