"accession_base","broad_group","ictv_genus","ictv_subgenus","ictv_species","virus_name","isolate","accession","available_sequence","abbrev","candidate_role","proposed_active_unit","decision","decision_reason","support_status","ncbi_followup_hint","ictv_taxon_anchor","ictv_taxon_source","keep_reason","keep_rationale","keep_notes","source_rationale","source_notes","resolved_accession","ncbi_lookup_status","output_source","Completeness","Geographic Location","Geographic Region","Host Common Name","Host Name","Host Taxonomic ID","Is Annotated","Is Lab Host","Is Vaccine Strain","Isolate Collection date","Length","Protein count","Release date","Source database","Submitter Affiliation","Submitter Country","Submitter Names","Update date","Virus Common Name","Virus Infraspecific Names Isolate","Virus Name","Virus Taxonomic ID","host_name_record","host_name_current_override","host_override_note","host_name_datasets","host_name_record_or_override","host_name_current_curated"
"KC881005","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus RsSHC014","RsSHC014","KC881005","Complete genome","RsSHC014","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus RsSHC014 | RsSHC014","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example from Rhinolophus sinicus. Shares an accession with the SHC014 naming variant.","KC881005.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2011-04-17",29787,12,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Wang,L.-F.,Shi,Z.-L.","2013-11-22T00:00:00Z",,,"Bat SARS-like coronavirus RsSHC014",1415851,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KC881005","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus SHC014","SHC014","KC881005","Complete genome","SHC014","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus SHC014 | SHC014","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list SHC014 example. Uses the same NCBI accession as the RsSHC014 naming variant and should be treated as an alias-level supporting row for now.","KC881005.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2011-04-17",29787,12,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Wang,L.-F.,Shi,Z.-L.","2013-11-22T00:00:00Z",,,"Bat SARS-like coronavirus RsSHC014",1415851,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KF367457","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus WIV1","WIV1","KF367457","Complete genome","WIV1","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus WIV1 | WIV1","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example with reported ACE2-usage evidence.","KF367457.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2012-09",30309,13,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Zhang,S.-Y.,Wang,L.-F.,Shi,Z.-L.","2013-11-06T00:00:00Z",,,"Bat SARS-like coronavirus WIV1",1415852,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"DQ412042","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-related coronavirus Rf1/2004","Rf1/2004","DQ412042","GenBank accession provided","Rf1","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","Bat SARS-related coronavirus Rf1/2004 | Rf1/2004","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession DQ412042.1.","DQ412042.1","ok","stdout","COMPLETE","","",,"Rhinolophus ferrumequinum",59479,"true","",,"",29709,14,"2006-07-13T00:00:00Z","GenBank","Wuhan Institute of Virology, Chinese Academy of Science","China","Li,W.,Shi,Z.,Yu,M.,Ren,W.,Smith,C.,Epstein,J.H.,Wang,H.,Crameri,G.,Hu,Z.,Zhang,H.,Zhang,J.,McEachern,J.,Field,H.,Daszak,P.,Eaton,B.T.,Zhang,S.,Wang,L.F.,Ren,W.Z.,Li,W.D.,Zhou,P.,Hao,P.,Zhang,S.Y.,Zhao,G.P.,Zhong,Y.,Wang,S.Y.,Wang,L.-F.,Shi,Z.L.","2006-07-13T00:00:00Z",,,"Bat SARS CoV Rf1/2004",347537,,,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"DQ412043","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-related coronavirus Rm1/2004","Rm1/2004","DQ412043","GenBank accession provided","Rm1","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","Bat SARS-related coronavirus Rm1/2004 | Rm1/2004","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession DQ412043.1.","DQ412043.1","ok","stdout","COMPLETE","","",,"Rhinolophus macrotis",196889,"true","",,"",29749,13,"2006-07-13T00:00:00Z","GenBank","Wuhan Institute of Virology, Chinese Academy of Science","China","Li,W.,Shi,Z.,Yu,M.,Ren,W.,Smith,C.,Epstein,J.H.,Wang,H.,Crameri,G.,Hu,Z.,Zhang,H.,Zhang,J.,McEachern,J.,Field,H.,Daszak,P.,Eaton,B.T.,Zhang,S.,Wang,L.F.,Ren,W.Z.,Li,W.D.,Zhou,P.,Hao,P.,Zhang,S.Y.,Zhao,G.P.,Zhong,Y.,Wang,S.Y.,Wang,L.-F.,Shi,Z.L.","2006-07-13T00:00:00Z",,,"Bat SARS CoV Rm1/2004",347536,,,,"Rhinolophus macrotis","Rhinolophus macrotis","Rhinolophus macrotis"
"KM205024","Vesiculovirus","Vesiculovirus","","Vesiculovirus radi","Radi virus","ISS Ph1-166","KM205024","Complete genome","RADV","supporting_example","Vesiculovirus review set","keep_supporting_example","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","supporting_example","Radi virus | ISS Ph1-166","","","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","KM205024.1","ok","stdout","PARTIAL","Italy","Europe",,"Phlebotomus perfiliewi",59275,"true","",,"1982",11068,5,"2015-03-10T00:00:00Z","GenBank","CSIRO","Australia","Walker,P.J.,Firth,C.,Widen,S.G.,Blasdell,K.R.,Guzman,H.,Wood,T.G.,Paradkar,P.N.,Holmes,E.C.,Tesh,R.B.,Vasilakis,N.,Walker,P.,Widen,S.,Blasdell,K.,Wood,T.,Paradkar,P.,Holmes,E.,Tesh,R.","2015-03-10T00:00:00Z",,,"Vesiculovirus radi",1972566,,,,"Phlebotomus perfiliewi","Phlebotomus perfiliewi","Phlebotomus perfiliewi"
"JF911700","Vesiculovirus","Vesiculovirus","","Vesiculovirus bogdanovac","Yug Bogdanovac virus","YU4-76","JF911700","Coding-complete genome","YBV","supporting_example","Vesiculovirus review set","keep_supporting_example","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","supporting_example","Yug Bogdanovac virus | YU4-76","","","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","JF911700.1","ok","stdout","COMPLETE","Serbia","Europe",,"",,"true","true",,"",11202,5,"2012-10-17T00:00:00Z","GenBank","University Medical Center Goettingen, Department of Virology","Germany","Pfeffer,M.,Dilcher,M.,Tesh,R.B.,Hufert,F.T.,Weidmann,M.","2013-04-05T00:00:00Z",,,"Vesiculovirus bogdanovac",1972567,,,,"","",""
"KJ473812","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRf-BetaCoV/HeB2013","BtRf-BetaCoV/HeB2013","KJ473812","GenBank accession provided","HeB2013","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRf-BetaCoV/HeB2013 | BtRf-BetaCoV/HeB2013","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession KJ473812.1.","KJ473812.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus ferrumequinum",59479,"true","",,"2013",29443,10,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRf-BetaCoV/HeB2013",1503296,,,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"KJ473811","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRf-BetaCoV/JL2012","BtRf-BetaCoV/JL2012","KJ473811","GenBank accession provided","JL2012","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRf-BetaCoV/JL2012 | BtRf-BetaCoV/JL2012","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession KJ473811.1.","KJ473811.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus ferrumequinum",59479,"true","",,"2012",29037,13,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRf-BetaCoV/JL2012",1503299,,,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"KJ473813","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRf-BetaCoV/SX2013","BtRf-BetaCoV/SX2013","KJ473813","GenBank accession provided","SX2013","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRf-BetaCoV/SX2013 | BtRf-BetaCoV/SX2013","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509511&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added from the Sarbecovirus taxonomy tree. Manual nuccore lookup pinned accession KJ473813.1.","KJ473813.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus ferrumequinum",59479,"true","",,"2013",29461,10,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRf-BetaCoV/SX2013",1503300,,,,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"KJ473815","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRs-BetaCoV/GX2013","GX2013","KJ473815","Complete genome","GX2013","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRs-BetaCoV/GX2013 | GX2013","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a 2013 bat sarbecovirus genome from the NCBI taxonomy tree with a direct GenBank accession.","KJ473815.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2013",29161,10,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRs-BetaCoV/GX2013",1503301,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KJ473814","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRs-BetaCoV/HuB2013","HuB2013","KJ473814","Complete genome","HuB2013","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRs-BetaCoV/HuB2013 | HuB2013","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a 2013 bat sarbecovirus genome from the NCBI taxonomy tree. Accession KJ473814 is widely cited in sarbecovirus comparison papers.","KJ473814.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2013",29658,10,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRs-BetaCoV/HuB2013",1503302,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KJ473816","Sarbecovirus","Betacoronavirus","Sarbecovirus","","BtRs-BetaCoV/YN2013","YN2013","KJ473816","Complete genome","YN2013","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtRs-BetaCoV/YN2013 | YN2013","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a 2013 bat sarbecovirus genome from the NCBI taxonomy tree. Accession KJ473816 is widely cited in sarbecovirus comparison papers.","KJ473816.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2013",29142,10,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtRs-BetaCoV/YN2013",1503303,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KF569996","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Rhinolophus affinis coronavirus isolate LYRa11","LYRa11","KF569996","Complete genome","LYRa11","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","Rhinolophus affinis coronavirus isolate LYRa11 | LYRa11","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a host-linked sarbecovirus example from the NCBI taxonomy tree with a clear Rhinolophus affinis label.","KF569996.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus affinis",59477,"true","",,"2011",29805,13,"2014-04-26T00:00:00Z","GenBank","Institute of Military Veterinary, Virology Department","China","He,B.,Zhang,Y.,Xu,L.,Yang,W.,Yang,F.,Feng,Y.,Xia,L.,Zhou,J.,Zhen,W.,Guo,H.,Zhang,H.,Tu,C.","2014-05-29T00:00:00Z",,,"Rhinolophus affinis coronavirus",1487703,,,,"Rhinolophus affinis","Rhinolophus affinis","Rhinolophus affinis"
